id,discipline_class_id,day_of_week,start_time,end_time,class_type,created_at
fab82fbb-b78f-49b5-834f-f49f387ff46c,b8398f75-e7c1-4d98-a74f-b4d657f65e7f,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
5384e4e1-15f1-402c-b839-0a5d245bb358,bb74aff4-61ac-4517-99f1-c33f9049ca1e,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
c8b0f801-015f-49a2-a445-dd2de109a691,bb74aff4-61ac-4517-99f1-c33f9049ca1e,QUI,19:00,20:40,T,2023-07-28 10:16:48.684195
8a4e6034-8fb1-4d29-bb40-24068c845481,9e863098-1c40-428a-88f8-fc447fb57d68,TER,15:20,17:00,T,2023-07-28 10:16:48.684195
a9dc1e10-2a8a-43e2-9e0d-649eace0bc56,9e863098-1c40-428a-88f8-fc447fb57d68,QUI,13:30,15:10,P,2023-07-28 10:16:48.684195
add28b2c-0e1a-49af-8af9-9b928b211065,0f277f87-b4a8-4def-bba3-c40c95b5eef7,TER,15:20,17:00,T,2023-07-28 10:16:48.684195
4dc0eaff-11a7-48a1-b9d8-f9a3a1ff9b18,0f277f87-b4a8-4def-bba3-c40c95b5eef7,QUI,13:30,15:10,T,2023-07-28 10:16:48.684195
5fda9c23-0c0c-4c3d-90fb-72ef43083148,e1bb0891-b187-47cb-b31f-4289fd565ced,SEG,15:20,17:00,T,2023-07-28 10:16:48.684195
437e1fa1-e9ec-4d56-927a-105042207c58,e1bb0891-b187-47cb-b31f-4289fd565ced,QUA,13:30,15:10,T,2023-07-28 10:16:48.684195
319abedc-52b1-41de-9d1b-7ada972f2f95,ffd08254-59c3-47c1-8677-47840dc58502,SEG,17:10,18:50,T,2023-07-28 10:16:48.684195
95132a99-5c26-4984-8e73-be94f553488b,ffd08254-59c3-47c1-8677-47840dc58502,QUA,17:10,18:50,T,2023-07-28 10:16:48.684195
10a5aa2b-b9c5-4caf-854d-f6143ef24bf6,b021b2be-c2d3-4df6-98fb-e3333b33bb86,TER,21:00,22:40,T,2023-07-28 10:16:48.684195
fbe16e83-66f2-4d8d-9bd1-46e59a38a67d,b021b2be-c2d3-4df6-98fb-e3333b33bb86,QUI,19:00,20:40,P,2023-07-28 10:16:48.684195
ed619485-f804-47a2-912d-8f53783a0440,ffa41ef3-f926-4bf6-bd2f-82d02afd0e45,SEG,13:30,15:10,T,2023-07-28 10:16:48.684195
354bddbb-c97b-49bf-87f4-4567f80ac504,ffa41ef3-f926-4bf6-bd2f-82d02afd0e45,QUA,15:20,17:00,P,2023-07-28 10:16:48.684195
c43b044b-3c6c-43ee-a2ea-e827db2e8676,4e5a7846-4c78-48bf-9f9e-02a344bac798,TER,17:10,18:50,T,2023-07-28 10:16:48.684195
9b05fd15-c908-4b2c-aa89-7269eaad87b6,4e5a7846-4c78-48bf-9f9e-02a344bac798,SEX,17:10,18:50,P,2023-07-28 10:16:48.684195
ef49b55c-036f-4881-9f5c-f5c5493e5ab7,b57ec0ef-939d-4d62-bc64-37d277a5e879,SEG,19:00,20:40,T,2023-07-28 10:16:48.684195
8348dea1-64ad-4d1e-a67a-475459e48d1a,b57ec0ef-939d-4d62-bc64-37d277a5e879,QUI,19:00,20:40,P,2023-07-28 10:16:48.684195
32a9b23d-f936-49aa-8b1c-3305fc045baf,fb90c0c4-71c2-4382-9a14-4a5fa2d49aa3,TER,19:00,20:40,T,2023-07-28 10:16:48.684195
779dfb68-8cb5-461c-af43-1830d9036a28,fb90c0c4-71c2-4382-9a14-4a5fa2d49aa3,QUI,21:00,22:40,P,2023-07-28 10:16:48.684195
6b9c084c-2b28-469b-a59c-ec43570a826f,eebc3f36-5a4c-45c1-85ba-d8ca66d25b13,TER,17:10,18:50,T,2023-07-28 10:16:48.684195
82b49e1b-6395-4931-9153-7ac5eefa9472,eebc3f36-5a4c-45c1-85ba-d8ca66d25b13,SEX,17:10,18:50,P,2023-07-28 10:16:48.684195
51b0fdad-8ac3-497c-bd08-76c943e32602,97e67451-5ea8-4aa3-9db0-5830c222347a,SEG,13:30,15:10,T,2023-07-28 10:16:48.684195
