id,discipline_course_id,prerequisite_discipline_id,created_at
f6ed30d9-c35c-4da4-86e2-60695b7d62bc,878c43d9-3af1-4876-9b68-8d2c9812f9cd,CSI488,2023-07-24 17:57:15.268444
5a86759d-d376-4c95-b913-9d1760d714fe,22e058a5-f58b-4fe6-b932-ea98eb55d217,CSI476,2023-07-24 17:57:15.268444
862eb91d-b5c9-42ef-a126-a3827c480c93,4a409bfe-3a67-437a-985b-81eead7c821f,CSI485,2023-07-24 17:57:15.268444
5b9cf83e-d9e1-4d33-b82a-501a7d85183b,5cf632c9-0563-4744-98ce-6b16c788a442,CSI466,2023-07-24 17:57:15.268444
c4da2f35-46b5-4b61-82ae-9cd8c9e92bd9,aefb9924-8b41-4c7a-b1fd-604599e305a3,CSI488,2023-07-24 17:57:15.268444
b4783965-c4b6-4cd2-94a3-8e280aa292d1,d9c41cab-021b-4277-b246-f87765e7d7ed,CSI548,2023-07-24 17:57:15.268444
3f0ac284-12d7-4c38-89c9-6a0983cc02a4,76df5229-b54c-4cb5-b4d1-63dee32e0be7,CSI476,2023-07-24 17:57:15.268444
24c01ba3-5c9d-4503-a42f-7357aa9c3d69,8b8c7a4e-64f9-41be-b762-32c0edf1f1bd,CSI548,2023-07-24 17:57:15.268444
bb1fd0c4-e3d3-4b35-9b6e-ca4e28ffda39,791081d3-d3c0-481c-97ef-95a8dbf92765 fc04bfbe-137f-4587-8db8-9528a3295888,CEA038,2023-07-24 17:57:15.274217
ce2dd6cd-62aa-417b-a8d8-d3773c676a2b,791081d3-d3c0-481c-97ef-95a8dbf92765 fc04bfbe-137f-4587-8db8-9528a3295888,CEA039,2023-07-24 17:57:15.274217
903217ad-a48f-4b52-9e1b-276035ee4e84,791081d3-d3c0-481c-97ef-95a8dbf92765 fc04bfbe-137f-4587-8db8-9528a3295888,CEA062,2023-07-24 17:57:15.274217
9a833eba-d551-40af-bf5b-09c87fcc74a5,791081d3-d3c0-481c-97ef-95a8dbf92765 fc04bfbe-137f-4587-8db8-9528a3295888,CEA063,2023-07-24 17:57:15.274217
1672ff28-cef0-48b7-937d-891b6d2b7f62,b73d2382-c332-491a-aab1-de3e97cd060b,CSI495,2023-07-24 17:57:15.274217
ed5db9cf-9134-4779-8bb8-71bc05902667,cdd42b95-f834-418d-bd5a-a3c49469b72c,CSI433,2023-07-24 17:57:15.274217
7b6d9cbf-cf54-4be1-878b-f503ce7956dd,b080ebc4-5f82-491e-bf65-6fb61aad0578 42975bf5-b56e-4ec0-a22c-1b35e68ef3ed,CEA052,2023-07-24 17:57:15.293044
b7015a3c-3149-46b1-968c-60d4135083b4,b080ebc4-5f82-491e-bf65-6fb61aad0578 42975bf5-b56e-4ec0-a22c-1b35e68ef3ed,CEA056,2023-07-24 17:57:15.293044
fe4a39cc-6564-41ec-8817-ca885c89d3f0,fbabae2a-4ed5-4494-8166-09cf770d2e20,CEA580,2023-07-24 17:57:15.293044
7cbb37d0-81dd-46ee-8294-a94fdd1830c3,71cd9727-137c-46b7-aa04-66ab25c32dd4,CEA552,2023-07-24 17:57:15.293044
5b29e08e-c3be-48a7-a86a-7d63505703ff,6a0ed9d3-6abf-426a-a551-51f7b174ec1b,CEA562,2023-07-24 17:57:15.293044
490f555f-2c1c-4289-a907-fb959f088f7b,e2b426f0-305e-4995-9a00-ffee3e7040b8,CEA551,2023-07-24 17:57:15.293044
df56f8a5-711f-4e3a-b639-04d60b5d515a,e2b426f0-305e-4995-9a00-ffee3e7040b8,CEA561,2023-07-24 17:57:15.293044
0ab129b0-c334-4e39-89cc-269bbc441362,b797f9f2-64c1-4c79-aaf3-8e1df223864f,CEA561,2023-07-24 17:57:15.293044
2efd5862-b87c-4e26-993a-c13945f8f87b,b797f9f2-64c1-4c79-aaf3-8e1df223864f,CEA570,2023-07-24 17:57:15.293044
34a46e4c-cd69-4cef-9121-0d680c68c61e,147afdf3-5b67-4d78-9616-288afbf7c4c3,CEA562,2023-07-24 17:57:15.293044
32207076-2b01-4c82-815f-64700f4250ca,faab77d5-59ad-4573-8e34-addb0923af16,CEA562,2023-07-24 17:57:15.293044
7b35d701-a8aa-4f39-a206-5b1018287226,04021aef-95bb-4a61-9481-3e5445112094,CSI030,2023-07-24 17:57:15.309623
fb447ec2-55cf-488f-84aa-79d5ae846179,04021aef-95bb-4a61-9481-3e5445112094,CSI488,2023-07-24 17:57:15.309623
1fb55ccc-57f4-4db6-ae6d-f891659fd9e8,b158a574-1343-4b70-b267-dc333ac76d84,ENP153,2023-07-24 17:57:15.309623
f9d80502-255d-4beb-a089-2d512d818852,69352630-9703-418a-919c-cec65e2ed97d,CEA562,2023-07-24 17:57:15.309623
39f332e5-1568-4179-a96f-795e5a888f1d,47ff1e49-3912-4d04-baf1-51cfa62b0d84,CEA049,2023-07-24 17:57:17.137238
00947f2c-d13b-470d-9226-1c487c830b18,47ff1e49-3912-4d04-baf1-51cfa62b0d84,CEA050,2023-07-24 17:57:17.137238
3d0bf5d4-edca-4db9-a3b2-76fd3ff6c90b,29b59ced-5707-482c-91a7-6e1e200d13e3,CEA049,2023-07-24 17:57:17.137238
c92ab702-5ccf-4ebd-a24f-7fe061ceec2a,29b59ced-5707-482c-91a7-6e1e200d13e3,CEA050,2023-07-24 17:57:17.137238
4c0832f7-3f38-461f-bfa9-218d17739992,fe2365a2-c40a-48d1-986b-6be561a41183,CEA050,2023-07-24 17:57:17.137238
65bd521c-3298-4240-a160-5bff086f813b,fe2365a2-c40a-48d1-986b-6be561a41183,CEA051,2023-07-24 17:57:17.137238
bc5730f7-fa79-4240-b76d-5a6a064409d9,38bacac2-1575-463b-8141-e162afe0865f,CEA050,2023-07-24 17:57:17.137238
95c25b29-9885-4384-903e-e2985fe8364c,38bacac2-1575-463b-8141-e162afe0865f,CEA051,2023-07-24 17:57:17.137238
45e2bf01-9bb6-445d-9ea7-571b9652f0b2,86d3775b-8680-4cde-aa45-b0b9257be274,CEA051,2023-07-24 17:57:17.137238
29b0cb5c-a293-404a-901d-8796c2e1fda1,7e0d763a-bcb7-453b-b364-77568f38178f f5f854d6-fa2e-4dcb-905f-9217583582b6,CEA038,2023-07-24 17:57:17.137238
b7378fc6-85c4-4efd-b15f-b1e15bab2483,7e0d763a-bcb7-453b-b364-77568f38178f f5f854d6-fa2e-4dcb-905f-9217583582b6,CEA039,2023-07-24 17:57:17.137238
afae4cde-ea6e-4958-a40a-f542975f46d5,7e0d763a-bcb7-453b-b364-77568f38178f f5f854d6-fa2e-4dcb-905f-9217583582b6,CEA051,2023-07-24 17:57:17.137238
f77e02d1-f2ac-4202-ba5e-e226fe6d9d1a,7e0d763a-bcb7-453b-b364-77568f38178f f5f854d6-fa2e-4dcb-905f-9217583582b6,CEA061,2023-07-24 17:57:17.137238
70a3b63d-00c9-4f10-bacc-cf76b47a6702,fafa47df-f18d-4886-b1ef-35df6403a02e,CEA053,2023-07-24 17:57:17.137238
7200998a-31c3-42b7-9408-6af4de6c8890,309c5426-852c-4f36-8106-5ef1c37ace9b 59dabe84-7e86-49bf-a2e5-a9b3d3e5e301,CEA051,2023-07-24 17:57:17.137238
1249221f-5c39-434a-b330-0f153890eeeb,309c5426-852c-4f36-8106-5ef1c37ace9b 59dabe84-7e86-49bf-a2e5-a9b3d3e5e301,CEA056,2023-07-24 17:57:17.137238
