id,class_number,discipline_id,professor,created_at,semester
207ee30f-291c-4965-b583-cb7e05d179e0,11,CSI429,TATIANA ALVES COSTA(T),2023-07-24 18:08:14.071088,23.1
316c39fd-be4d-425c-8ace-18307a8a5078,11,CSI433,THEO SILVA LINS(T),2023-07-24 18:08:14.071088,23.1
7a21fafd-b9b9-47e5-a852-ae1a38b1934a,11,CSI437,SAMUEL SOUZA BRITO(T),2023-07-24 18:08:14.071088,23.1
0ad653db-147d-4594-af0d-045292113aee,11,CSI440,BRUNO RABELLO MONTEIRO(T),2023-07-24 18:08:14.071088,23.1
a41c071b-5848-446e-9959-e61b4ecedb6f,11,CSI443,LUIZ OTAVIO MENEZES TELES(T),2023-07-24 18:08:14.071088,23.1
db0d0ba9-ada1-4798-b5bb-7c495f54d434,12,CSI443,LUIZ OTAVIO MENEZES TELES(T),2023-07-24 18:08:14.071088,23.1
25565616-e08e-4ff1-887e-8b3457452ffd,11,CSI450,DIEGO ZUQUIM GUIMARAES GARCIA(T),2023-07-24 18:08:14.071088,23.1
a4058654-a5fa-44fe-9bfb-d0d21b4790ed,11,CSI457,TALLES HENRIQUE DE MEDEIROS(T),2023-07-24 18:08:14.071088,23.1
2167ce61-aa75-48fe-948e-c4f2bcf428ab,11,CSI466,GEORGE HENRIQUE GODIM DA FONSECA(T),2023-07-24 18:08:14.071088,23.1
f1cddea1-e77e-49da-9894-59620c44804f,11,CSI476,CAIO AUGUSTO RODRIGUES DOS SANTOS(T),2023-07-24 18:08:14.071088,23.1
a4bc0bd9-7e9f-493e-b834-be647bbce4af,11,CSI485,EULER HORTA MARINHO(T),2023-07-24 18:08:14.071088,23.1
9159e485-b714-46bd-a370-2ecdc518a0f3,21,CSI488,ALEXANDRE MAGNO DE SOUSA(T+P),2023-07-24 18:08:14.071088,23.1
26b36d24-3c29-4fcb-aeb8-2d0159404f27,22,CSI488,ALEXANDRE MAGNO DE SOUSA(T+P),2023-07-24 18:08:14.071088,23.1
02afc9b2-31ed-473d-9054-01689ea41369,23,CSI488,MATEUS FERREIRA SATLER(T+P),2023-07-24 18:08:14.071088,23.1
56e2e0f4-6cff-4ee5-8161-7c4645222344,11,CSI491,BRUNO CESAR COTA CONCEICAO(T),2023-07-24 18:08:14.071088,23.1
d5c85e09-2f49-4c27-b4a0-94d1fcda7147,11,CSI495,ALEXANDRE MAGNO DE SOUSA(P) / BRUNO RABELLO MONTEIRO(P) / FERNANDO BERNARDES DE OLIVEIRA(P) / GEORGE HENRIQUE GODIM DA FONSECA(P) / GLAUCO FERREIRA GAZEL YARED(P) / RAFAEL FREDERICO ALEXANDRE(P) / RONAN SILVA FERREIRA(P) / SARAH NEGREIROS DE CARVALHO LEITE(P) / TALLES HENRIQUE DE MEDEIROS(P) / THEO SILVA LINS(P) / WELBERT ALVES RODRIGUES(P),2023-07-24 18:08:14.071088,23.1
58c1e879-c4b5-47ed-b566-5f43724b0106,11,CSI496,ALINE ROCHA DE ASSIS(P) / DIEGO ZUQUIM GUIMARAES GARCIA(P) / FILIPE NUNES RIBEIRO(P) / GEORGE HENRIQUE GODIM DA FONSECA(P) / HELEN DE CASSIA SOUSA DA COSTA LIMA(P) / MARLON PAOLO LIMA(P) / RONAN SILVA FERREIRA(P) / TALLES HENRIQUE DE MEDEIROS(P) / THEO SILVA LINS(P),2023-07-24 18:08:14.071088,23.1
14214a39-3d53-4185-9527-874ccc7719a2,11,CSI504,TIAGO FRANCA MELO DE LIMA(T),2023-07-24 18:08:14.071088,23.1
2d950872-f87c-45b5-83c1-5a3d429e7afa,11,CSI506,LUIZ CARLOS BAMBIRRA TORRES(T) / ROBERTO GOMES RIBEIRO(T),2023-07-24 18:08:14.071088,23.1
901f5165-b956-4d85-862f-bc7c24528f30,11,CSI507,TIAGO FRANCA MELO DE LIMA(T),2023-07-24 18:08:14.071088,23.1
e405e5a0-422c-4767-b1f1-1b285a291985,11,CSI508,GILDA APARECIDA DE ASSIS(T),2023-07-24 18:08:14.071088,23.1
5bb403e5-c987-48eb-a6c6-0b2642dfc237,11,CSI509,HARLEI MIGUEL DE ARRUDA LEITE(T),2023-07-24 18:08:14.071088,23.1
4224c2c2-0796-4db2-b8c4-f55ef8fb74eb,11,CSI510,DARLAN NUNES DE BRITO(P) / MARLON PAOLO LIMA(T+P),2023-07-24 18:08:14.071088,23.1
a6244303-877e-4725-8752-ddbec06d2621,11,CSI546,CAIO AUGUSTO RODRIGUES DOS SANTOS(T),2023-07-24 18:08:14.071088,23.1
d240b44c-036f-451b-aa3e-8ea161f17290,21,CSI548,FILIPE NUNES RIBEIRO(T+P),2023-07-24 18:08:14.071088,23.1
f6ae4577-d1e5-41fd-b3ae-85e0e85f9dd6,22,CSI548,EDUARDO DA SILVA RIBEIRO(T) / FILIPE NUNES RIBEIRO(T+P),2023-07-24 18:08:14.071088,23.1
c9df8078-85dd-4757-ba73-109c00b36c19,11,CSI601,JANNIELE APARECIDA SOARES ARAUJO(T),2023-07-24 18:08:14.071088,23.1
