CÓDIGO,DISCIPLINA,PRÉ-REQUISITO,CHS/CHE,CHA,AULAS,PER,Eletiva
CSI518,TOPICOS EM ENGENHARIA DE SOFTWARE II,CSI486,60/0,72,4 0,,True
CSI520,TOPICOS EM INTELIGENCIA ARTIFICIAL,CSI032 CSI488,60/0,72,4 0,,True
CSI549,AVALIACAO DE SISTEMAS INTERATIVOS,CSI450,60/0,72,4 0,,True
CSI557,COMPUTACAO EVOLUCIONARIA,CSI488,60/0,72,2 2,,True
CSI558,DESENVOLVIMENTO DIRIGIDO POR MODELOS,CSI485,60/0,72,4 0,,True
CSI559,FUNDAMENTOS DE LINGUAGENS DE PROGRAMACAO,CSI419,60/0,72,4 0,,True
CSI564,GEOPROCESSAMENTO E SISTEMA DE INFORMACAO GEOGRAFICA,900 horas CSI440,60/0,72,4 0,,True
CSI566,MODELAGEM E SIMULACAO DE SISTEMAS TERRESTRES,900 horas CSI032 CSI488,60/0,72,4 0,,True
CSI567,PADROES DE PROJETOS,CSI485,60/0,72,3 1,,True
CSI568,QUALIDADE DE SOFTWARE,CSI485,60/0,72,4 0,,True
CSI569,SEMANTICA FORMAL,CSI419,60/0,72,4 0,,True
CSI574,SISTEMAS DE TIPOS,CSI419,60/0,72,4 0,,True
CSI575,SISTEMAS WEB II,CSI477 CSI486,60/0,72,2 2,,True
CSI576,TESTE DE SOFTWARE,CSI485,60/0,72,4 0,,True
CSI577,LOGICA APLICADA A COMPUTACAO,CSI443 CSI488,60/0,72,4 0,,True
CSI578,TOPICOS EM LINGUAGEM DE PROGRAMACAO,CSI419,60/0,72,4 0,,True
CSI604,COMPILADORES II,CSI506,60/0,72,4 0,,True
CSI730,TOPICOS EM SISTEMAS DE COMPUTACAO,CSI032 CSI488,60/0,72,4 0,,True
CSI731,BANCO DE DADOS GEOGRAFICOS,CSI440,60/0,72,4 0,,True
CSI732,ENGENHARIA ONTOLOGICA E LOGICA FUZZY,CSI419 CSI457,60/0,72,4 0,,True
CSI733,APRENDIZAGEM DE MAQUINA,CSI457,60/0,72,4 0,,True
CSI734,INTERNET DAS COISAS,CSI548,60/0,72,4 0,,True
CSI735,GERENCIA DE PROJETOS DE SOFTWARE,CSI440 CSI485,60/0,72,4 0,,True
ENP151,CIENCIA TECNOLOGIA E SOCIEDADE,,60/0,72,4 0,,True
ENP152,ETICA E RESPONSABILIDADE SOCIOAMBIENTAL,,60/0,72,4 0,,True
ENP153,PROGRAMACAO LINEAR,CSI030 CSI488,60/0,72,3 1,,True
ENP160,OTIMIZACAO COMBINATORIA,ENP153,60/0,72,3 1,,True
ENP493,EMPREENDEDORISMO,1800 horas,60/0,72,4 0,,True
LET966,INTRODUCAO A LIBRAS,,60/0,72,2 2,,True
CEA453,SISTEMAS MULTIMIDIA,CEA562,60/0,72,3 1,,True
CEA708,PRINCIPIOS DAS COMUNICACOES DIGITAIS,CEA562,60/0,72,3 1,,True
CEA709,PROPAGACAO DE ONDAS DE RADIO,CEA502 CEA562,60/0,72,3 1,,True
CEA710,PROBABILIDADE E PROCESSOS ESTOCASTICOS PARA ENGENHARIA,,60/0,72,3 1,,True
CEA711,REDES E SISTEMAS DE COMUNICACOES MOVEIS,CEA341 CSI488,60/0,72,4 0,,True
CEA712,TOPICOS ESPECIAIS EM TELECOMUNICACOES,CEA562,60/0,72,3 1,,True
